State,Fund,Company Name,Deployment Year,Locations Obligation through Deployment Year,Locations Deployed through Deployment Year,Total Support Disbursed through Deployment Year
AK,AK Plan,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",2017,,184,3135240
AK,AK Plan,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",2018,2317,386,6270480
AK,AK Plan,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",2019,2317,1655,9405720
AK,AK Plan,"ARCTIC SLOPE TELEPHONE ASSOCIATION COOPERATIVE, INC.",2020,2317,1655,12540960
AK,AK Plan,BRISTOL BAY TELEPHONE COOPERATIVE,2017,,103,1136604
AK,AK Plan,BRISTOL BAY TELEPHONE COOPERATIVE,2018,,225,2273208
AK,AK Plan,BRISTOL BAY TELEPHONE COOPERATIVE,2019,,225,3409812
AK,AK Plan,BRISTOL BAY TELEPHONE COOPERATIVE,2020,,228,4546416
AK,AK Plan,CITY OF KETCHIKAN,2017,,1689,4217490
AK,AK Plan,CITY OF KETCHIKAN,2018,,2362,8434980
AK,AK Plan,CITY OF KETCHIKAN,2019,,2767,12652470
AK,AK Plan,CITY OF KETCHIKAN,2020,,3053,16869960
AK,AK Plan,COPPER VALLEY TEL,2018,,64,11307498
AK,AK Plan,COPPER VALLEY TEL,2019,,200,22614996
AK,AK Plan,COPPER VALLEY TEL,2020,,498,33922494
AK,AK Plan,CORDOVA TEL COOP,2018,,2,2316234
AK,AK Plan,CORDOVA TEL COOP,2019,,292,4632468
AK,AK Plan,CORDOVA TEL COOP,2020,,743,6948702
AK,AK Plan,"GCI HOLDINGS, LLC",2017,,407,3525624
AK,AK Plan,"GCI HOLDINGS, LLC",2018,,585,7051248
AK,AK Plan,"GCI HOLDINGS, LLC",2019,,585,10576872
AK,AK Plan,"GCI HOLDINGS, LLC",2020,,588,14102496
AK,AK Plan,"MATANUSKA TELEPHONE ASSOCIATION, INC.",2018,,5943,18720342
AK,AK Plan,"MATANUSKA TELEPHONE ASSOCIATION, INC.",2019,,11857,37440684
AK,AK Plan,"MATANUSKA TELEPHONE ASSOCIATION, INC.",2020,,25120,56161026
AK,AK Plan,NUSHAGAK ELEC & TEL,2020,,319,1545198
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2015,,2720,0
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2016,,3665,4930905
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2017,6315,3930,24625113
AK,CAF II,"ALASKA COMMUNICATIONS SYSTEMS HOLDINGS, INC.",2018,9472,6132,44319321
