Provider_Id,ProviderName,DBAName
53763,Union Telephone Company,Union Telephone Company
53769,"Standard Tobacco Company, Inc.",Bracken Cable
53769,"Standard Tobacco Company, Inc.",Limestone Cable
53770,Gunby Communications Inc,GCI Broadband
53771,Star Telephone Membership Corp,Star Telephone Membership Corp.
53773,Wire Tele View Corp.,Wire Tele-View Corporation
53774,Hiawatha Telephone Company,Hiawatha Telephone Company
53774,Hiawatha Telephone Company,Midway Telephone Company
53774,Hiawatha Telephone Company,Ontonagon County Telephone Company
53780,PrineTime Internet Solutions,PrineTIME Internet Solutions
53787,Stayton Cooperative Telephone Company,SCTC/PTC
53788,"Level  3 Communications, LLC",CenturyLink
53791,Stayton Cooperative Telephone Company,SCS
53793,"Arx Technologies, LLC",Arx Web
53795,Winnebago Cooperative Telecom Association,Winnebago Cooperative Telecom Association-CLEC
53796,Dunkirk and Fredonia Telephone Company,DFT Communications Netsync
53797,"Ntera, LLC",NTERA
53798,Cassadaga Telephone Corporation,DFT Communications Netsync
53798,Cassadaga Telephone Corporation,DFT Communications/Netsync
53801,Fast Forward Broadband LLC,Fast Forward Broadband LLC
53802,SBT Internet,SBT Internet
53803,Charles McKenna,Blue Mountain Digital
53805,1959,BGMU FIBER
53806,Killians Electronics LLC,Killians Electronics LLC
53819,Rural Enterprises Inc.,Rural Enterprises
53821,"Valnet Holdings, LLC",Valnet Telecommunications LLC
53823,Chazy & Westport Telephone Corporation,Chazy & Westport Telephone
53824,"Great Basin Internet Services, Inc",Great Basin Internet Services
53826,Webhiway Communications LLC,Webhiway Communications LLC
53827,"Zulu Internet, Inc.",Zulu Internet Inc
53829,"Orcas Online, Inc.",OrcasOnline
53830,"Hughes Computer Services, Inc.",CougarWireless
53831,DAN HYRAVY,ZetaLink
53833,"USAi.net, Inc.","USAI.net, Inc."
53833,"USAi.net, Inc.","USAi.net, Inc."
53835,Pinnacle Telecom,Pinnacle Telecom
53836,Canadian Valley Telephone Company,Canadian Valley Telephone Company
53838,Warwick Broadband Service,Warwick Broadband Service
53839,"JTM Broadband, LLC","JTM Broadband, LLC"
53844,STT Rural Net,STT RURAL NET
53847,Pine Telephone Company,Pine Telephone Company
53850,Southwest Oklahoma Telephone Company,Southwest Telephone Comany
53850,Southwest Oklahoma Telephone Company,Southwest Telephone Company
53851,"TSC, Inc.","TSC, Inc."
53853,TellerWifi LLC,TellerWifi
53854,Spanish Fork City,Spanish Fork City CORP
53854,Spanish Fork City,Spanish Fork City CORP.
53855,Straight Forward Broadband,Straight Forward Broadband
53857,"Roll Call Security & Communications, LLC","Roll-Call Security & Communications, LLC"
53858,Duo County Telephone Cooperative,Duo County Telephone Coop.
53859,"Cumberland Cellular, Inc. d/b/a Duo County Telecom",Duo County Telecom
53860,"B&B Communications, LTD",Autophone of Laredo
53861,"North Central Telephone Cooperative, Inc.",North Central Telephone
53862,North Central Communications,North Central Communications
53863,West Iowa Telephone Co.,WesTel Systems
53864,Auburn One Fiber LLC,A1 Fiber
53865,City of Ketchikan,Ketchikan Public Utilities
53866,Go Bee Wireless LLC,Go Bee Wireless LLC
53871,Element Wireless,Element Wireless
53872,"Lavalink, LLC",Lavalink
53874,Karban TV Systems Inc.,"Karban TV Systems, Inc."
53875,Innovative Tech Pros,InnovativeTechPros
53876,Taloga Cable,Taloga Cable
53877,Wells Community Internet Project,Wells Community Internet Project
53879,Wells Community Internet Project,Wells Community Internet Project
53883,"Stratos Networks, LLC",Stratos Networks LLC
53886,"Piedmont Communications Services, Inc",Piedmont Communications Services Inc.
53888,Echo Wireless LLC,Echo Wireless LLC
53891,"LYNX Network Group, Inc.","LYNX Network Group, Inc."
53894,Surry Telephone Membership Corporation,Piedmont Communications
53894,Surry Telephone Membership Corporation,Surry Telephone Membership Corporation
53896,Fiberspark Inc,Fiberspark
53897,Jackson Electric Cooperative,MyJEC.net
53897,Jackson Electric Cooperative,MyJEC.net Commercial
53898,"Crossroads Broadband, Inc","Crossroads Broadband, Inc"
53899,Veracity Networks,Veracity Networks
53900,Sky Valley Network LLC,SkyValleyNetwork
53903,JackRabbit Wireless LLC,JackRabbit Wireless
53904,Webformix Company,Webformix
53905,TRANSWAVE COMMUNICATIONS SYSTEMS,Transwave
53906,"Harlan Community Television, Inc.",Harlan Community Television Inc
53907,Concord Light Broadband,Concord Light Broadband
53908,Plumas-Sierra Telecommunications,Plumas-Sierra Telecommunications
53909,Wharton County Electric Coop,"Wharton County Electric Cooperative, Inc."
53910,Western Wahkiakum County Telephone Company,Wahkiakum West
53912,"ClearSKY Systems, Inc.","ClearSKY Systems, Inc."
53914,Everstream GLC Holding Company LLC,Everstream GLC Holding Company LLC
53915,Countrymen Communications,CountryMen Communications
53919,Van Horne Cooperative Telephone Company,Van Horne Cooperative Telephone Company
53920,AMG Technology Investment Group,Nextlink Business
53920,AMG Technology Investment Group,Nextlink Commercial
53920,AMG Technology Investment Group,Nextlink Enterprise
53920,AMG Technology Investment Group,Nextlink Residential
53921,CISC LLC,Rocket Connect LLC
53922,"Midwest Connections, Inc.",Midwest Connections Inc
53924,Cyber Mesa Computer Systems,Cyber Mesa Telecom
53928,Satellite Operations Inc.,Sister Lakes Cable
53930,PGTelco,PGTELCO INTERNET
53931,"Pineland Telephone Cooperative, Inc.",Pineland Telephone Cooperative
53932,Professional Satellite of NWF,Dynamite WISP
53938,Peoples Rural Telephone Coop Corp,Peoples Rural Telephone Coop Corp
53939,"Peoples Telecom, LLC","Peoples Telecom, LLC"
53943,William Bauer,WinDBreak Cable
53944,Television Association of Republic,Television Association of Republic
53945,HBC,HiawathaBroadbandCommunicationsInc
53946,"BCI Mississippi Broadband, LLC",MaxxSouth
53947,Helmsco Inc,Central Link Broadband
53949,Crowsnest Broadband LLC,Crowsnest Broadband LLC
53950,"H&B Cable, Inc",H & B Cable
53950,"H&B Cable, Inc",H&B Cable
53952,"H&B Communications, Inc",H & B Communcations
53954,Southern Montana Telephone Company,Southern Montana Telephone Company
53956,"Skyline Telecom, Inc.","Skyline Telecom, Inc."
53960,HENDERSON MUNICIPAL POWER & LIGHT,Henderson Municipal Power and Light
53961,ProTek Comunications,ProTek Communications LLC
53962,"OTZ Telephone Cooperative, Inc.",OTZ Telephone Cooperative Inc
53964,"Rangeley Internet Company, LLC","Rangeley Internet company, LLC"
53969,CarolinaConnect Cooperative Inc.,"CarolinaConnect Cooperative, Inc."
53971,James Valley Cooperative Telephone Company,James Valley Telecommunications
53972,"Northern Valley Communications, LLC",NVC
53974,"Craigville Telephone Company, Inc.","Craigville Telephone Co., Inc"
53975,MURRAY BILLINGSLEY,Electronics Service Company
53983,Celerity Broadband LLC,Celerity Broadband LLC
53985,Celerity Networks LLC,Celerity Networks LLC
53988,Adams CATV Inc.,Adams CATV Inc.
53989,"Craigville Telephone Company, Inc.",AdamsWells Internet Telecom TV
53990,St Joe Wireless,Saint Joe Wireless
53991,TREPIC Networks LLC,Trepic Networks LLC
53992,bright.net north Inc,bright net north inc
53994,"Troy Cablevision, Inc.","Troy Cablevision, Inc."
53996,"Geneva Broadband, LLC","Geneva Broadband, LLC"
53997,"Wi-Fiber, Inc.",Wi-Fiber
53998,South Slope Cooperative Telephone Company,South Slope Cooperative Communications
53999,South Slope Cooperative Telephone Company,South Slope Cooperative Communications
54001,Community Internet Service,Community Internet Service
54002,Wisprenn,WISPRENN
54003,Zenda Telephone Company Inc,Zenda Telephone Company Inc
54005,Signal West LLC,Signal West LLC
54006,LaPorte City Telephone Co,La Porte City Telephone Company
54007,North Texas Telephone Company,North Texas Telephone Company
54008,Calaveras Telephone Company,CALTEL Connections
54009,Eastern Shore of Virginia Broadband Authority,Eastern Shore of Virginia Broadband Authority
54010,3 Rooms Communications LLC,Cito Fiber
54010,3 Rooms Communications LLC,Wi-Five Broadband
54011,Industry Telephone Company,Industry I-Net
54012,"Alpine Communications, L.C.",Alpine Communications LC
54013,"VOLstate, Inc.",VolState
54014,"OKLATEL COMMUNICATIONS, INC.","Oklatel Communications, Inc."
54016,Arrowhead Communications Corporation,Arrowhead Communications Corporation
54017,Arvig Enterprises,Arvig Enterprises
54018,Arvig Enterprises,CLEMENTS
54019,Arvig Enterprises,EAGLEVALLEY
54020,Arvig Enterprises,EOT
54022,Lakeland Internet,Lakeland Internet
54023,Arvig Enterprises,FELTON
54024,FiberNet Monticello,FIBERNET
54025,Arvig Enterprises,HOME
54026,Morristown Utility,MUSFiberNET
54027,Arvig Enterprises,LORETEL
54028,Arvig Enterprises,MELROSE
54030,Arvig Enterprises,MIDWEST
54037,Arvig Enterprises,MAINSTREET
54040,Granby Telephone Co.,Granby Telephone Co.
54043,Arvig Enterprises,OSAKIS
54044,Arvig Enterprises,PEOPLES
54046,Arvig Enterprises,REDWOOD
54048,Arvig Enterprises,TEKSTAR
54049,Arvig Enterprises,TWIN VALLEY
54051,Johnco PTP LLC,Johnco PTP LLC
54052,Wtechlink,Wtechlink
54053,"Emerald Broadband, LLC.","Emerald Broadband, LLC."
54054,Amery Telcom Inc,Northwest Community Communications
54055,"Andrew Telephone Company, Inc.",Andrew Telephone Company
54056,"Baldwin Broadband, LLC","Baldwin Telecom, Inc"
54057,Baldwin Telecom Inc,"Baldwin Telecom, Inc"
54058,"Baldwin Nashville Telephone Company, Inc.","Baldwin Nashville Telephone Company, Inc."
54059,The Bergen Telephone Company,Bergen Telephone Company
54060,"Bernard Telephone Company, Inc.",Bernard Telephone Company
54063,Mono Broadband,Mono Broadband
54068,KRMS Products LLC,Krms Products LLC
54070,"Thames Valley Communications, Inc.",Thames Valley Communications
54075,"Lake County Broadband Solutions, LLC",Lake County Broadband Solutions
54076,MCI Communications Corporation,MCI
54078,Barry County Telephone Company,BARRY COUNTY
54080,DerbyNet,DerbyNet
54083,"UniCap, Inc.",UNITEL
54085,"South Central Telcom, LLC","South Central Telcom, LLC"
54086,MICHAEL STEIL,SignalInc
54087,Kalama Telephone Company,Kalama Telephone Company
54089,Cimarron Telephone Company,Cimarron
54090,Tenino Telephone Company,Tenino Telephone Company
54098,Verso Networks,Verso Networks
54100,Oak Run Associates Ltd/ DECCA Cable,DECCACable
54101,"TeleGuam Holdings, LLC",GTA
54102,"Eastex Telephone Cooperative, Inc.",Eastex Net
54103,"Eastex Celco, LLC",Eastex Net
54105,"Totelcom Communications, LLC","Totelcom Communications, LLC"
54107,Colfax Highline Cable Co.,DBA Colfax Highline Cable Co
54108,St. John Cable Co.,St. John Cable Co
54112,Spectrair,SpectrAir
54114,Lake Linx Inc.,Lake Linx Inc.
54115,Info-Ed Inc,"Info-Ed, Inc"
54116,Imagine Networks,Imagine Networks
54119,"Computers, Electronics, Office Etc.",CEO Technologies
54122,Bloomer Telephone Co,Bloomer Telephone Company
54123,Bruce Telephone Company,Bruce Telephone Company
54124,Cascade Communications Company,Cascade Communications Company
54125,"Celect Communications, LLC",Celect Communications
54127,Chippewa Valley cable Inc.,NTEC
54130,CITY OF BARNESVILLE,Barnesville Municipal Telephone
54131,Clear Lake Telephone Co Inc,Clear Lake Telephone Company
54133,"Anvil Communications, Inc.",AnvilCommunications
54134,Polar Communications Mutual Aid Corporation,Polar Communications Mutual Aid Corporation
54134,Polar Communications Mutual Aid Corporation,Wolverton Telephone Company
54135,Adams Telephone Co-Operative,Adams Telephone Cooperative
54137,Cross Telephone Company,Cross Cable LLC
54137,Cross Telephone Company,Cross Telephone Company LLC
54147,"Hutchinson Telecommunications, Inc.",Nuvera Communications
54148,Hutchinson Telephone Company,NU-Telecom
54149,West Central Telephone Assoc.,West Central Telephone Association
54151,"La Motte Telephone Company, Inc.",La Motte Telephone Company
54153,Lemonweir Valley Telephone Company,Lemonweir Valley Telephone
54154,LISMORE COOPERATIVE TELEPHONE CO,Lismore Cooperative Telephone Company
54156,LVT Corp,LVT Corp
54160,"Marquette-Adams Telephone Cooperative, Inc.",Marquette-Adams Telephone
54166,Minford Telephone Company,Falcon1
54167,Nelson Communications Cooperative,NTEC
54169,NU Telecom Glencoe,Nuvera Communications
54170,New Ulm Telecom RWF,NU-Telecom
54171,NEXTGEN Communications LLC,NextGen Communications
54173,StarTouch Broadband,StarTouch Inc
54174,Wilson Creek Communications,Wilson Creek Communications
54176,"Service Electric Cablevision, Inc.","Service Electric Cablevision, Inc."
54177,Jo-Carroll Energy Inc,SandPrairie
54181,RS Fiber Cooperative,RSFiberCooperative
54185,"Mid-Plains Rural Telephone Cooperative, Inc.",Mid-Plains Communications
54189,Onslow Cooperative Telephone Association,Onslow Cooperative Telephone Company
54193,WTC Communications Inc.,WTC
54194,"Richland-Grant Telephone Cooperative, Inc.","RICHLAND-GRANT TELEPHONE COOPERATIVE, INC"
54195,Sharon Telephone Company,Sharon Telephone Company
54196,Sharon Telephone Company - CLEC,Sharon Telephone Company
54197,"Siren Telephone Company, Inc",Siren Telephone Company
54200,Sleepy Eye Telephone Company,NU-Telecom
54201,SOMERSET TELEPHONE COMPANY,Northwest Community Communications
54202,"Mid-Plains Rural Telephone Cooperative, Inc.",Mid-Plains Communications
54203,Spring Grove Cooperative Telephone Co,Spring Grove Communications
54204,Wintek Corporation,Wintek Corporation
54208,"Allied Telecom Group, LLC",Allied Telecom Group LLC
54210,"Spring Valley Telephone Company, Inc.",Spring Valley Telephone
54211,"Tech-Com, Inc.",GENUINE TELECOM
54214,Union Telephone Company,Union Telephone Company
54216,Western Telephone Company,NU-Telecom
54216,Western Telephone Company,Nuvera Communications
54218,Wittenberg Cable TV Co Inc,"Wittenberg Cable TV Company, Inc."
54219,Wittenberg Telephone Company,"Wittenberg Telephone Company, Inc."
54220,"Wittenberg Wireless, LLC",Cirrinity
54221,RuralWaves Wireless Internet,RuralWaves
54222,Woodstock Telephone Company,Woodstock Telephone Company
54224,Wyoming Mutual Telephone Company,Wyoming Mutual Telephone Company
54225,Inland Telephone Company,Inland Networks
54226,Mtida LLC,Mtida LLC
54227,Rio Virgin Telephone Company,Rio Virgin
54229,Trans-Cascades Telephone Company,Trans Cascade
54230,Rednet,REDNET Networks
54233,"Sandhill Telephone Coop., Inc.",Sandhill Telephone Cooperative
54238,Marshall Municipal Utilities,Marshall Municipal Utilities
54241,"Volunteer First Services,LLC",VolFirst
