"zcta5","county","tract","bg","cntyname","zipname","pop10","afact"
"ZIP census tabulation area","County code","Tract","Block group","County name","ZCTA name","Population (2010)","zcta5 to bg allocation factor"
"38769","05041","9501.00","1","Desha AR","Rosedale, MS",2,1 
"65729","05089","9603.00","1","Marion AR","Pontiac, MO",36,1 
"65733","05009","7902.00","2","Boone AR","Protem, MO",5,0.023 
"65733","05089","9603.00","4","Marion AR","Protem, MO",212,0.977 
"65761","05089","9603.00","4","Marion AR","Theodosia, MO",93,1 
"71601","05069","0005.02","1","Jefferson AR","Pine Bluff, AR",767,0.0443 
"71601","05069","0005.02","2","Jefferson AR","Pine Bluff, AR",1471,0.0849 
"71601","05069","0005.02","3","Jefferson AR","Pine Bluff, AR",1380,0.0796 
"71601","05069","0009.00","1","Jefferson AR","Pine Bluff, AR",1061,0.0612 
"71601","05069","0009.00","2","Jefferson AR","Pine Bluff, AR",967,0.0558 
"71601","05069","0009.00","3","Jefferson AR","Pine Bluff, AR",553,0.0319 
"71601","05069","0009.00","4","Jefferson AR","Pine Bluff, AR",577,0.0333 
"71601","05069","0010.00","1","Jefferson AR","Pine Bluff, AR",409,0.0236 
"71601","05069","0010.00","2","Jefferson AR","Pine Bluff, AR",379,0.0219 
"71601","05069","0010.00","3","Jefferson AR","Pine Bluff, AR",1088,0.0628 
"71601","05069","0012.00","1","Jefferson AR","Pine Bluff, AR",362,0.0209 
"71601","05069","0012.00","2","Jefferson AR","Pine Bluff, AR",253,0.0146 
"71601","05069","0012.00","3","Jefferson AR","Pine Bluff, AR",428,0.0247 
"71601","05069","0013.00","2","Jefferson AR","Pine Bluff, AR",294,0.017 
"71601","05069","0016.00","1","Jefferson AR","Pine Bluff, AR",704,0.0406 
"71601","05069","0016.00","2","Jefferson AR","Pine Bluff, AR",621,0.0358 
"71601","05069","0017.00","1","Jefferson AR","Pine Bluff, AR",730,0.0421 
"71601","05069","0017.00","2","Jefferson AR","Pine Bluff, AR",604,0.0349 
"71601","05069","0017.00","3","Jefferson AR","Pine Bluff, AR",531,0.0306 
"71601","05069","0017.00","4","Jefferson AR","Pine Bluff, AR",611,0.0353 
"71601","05069","0019.01","1","Jefferson AR","Pine Bluff, AR",1266,0.0731 
"71601","05069","0019.03","1","Jefferson AR","Pine Bluff, AR",54,0.0031 
"71601","05069","0019.03","2","Jefferson AR","Pine Bluff, AR",1467,0.0847 
"71601","05069","0025.00","1","Jefferson AR","Pine Bluff, AR",750,0.0433 
"71602","05053","4701.00","3","Grant AR","Pine Bluff, AR",245,0.0136 
"71602","05069","0003.01","1","Jefferson AR","Pine Bluff, AR",993,0.0552 
"71602","05069","0003.01","2","Jefferson AR","Pine Bluff, AR",930,0.0517 
"71602","05069","0003.01","3","Jefferson AR","Pine Bluff, AR",1515,0.0843 
"71602","05069","0003.02","1","Jefferson AR","Pine Bluff, AR",1763,0.098 
"71602","05069","0003.02","2","Jefferson AR","Pine Bluff, AR",789,0.0439 
"71602","05069","0003.02","3","Jefferson AR","Pine Bluff, AR",1428,0.0794 
"71602","05069","0003.02","4","Jefferson AR","Pine Bluff, AR",718,0.0399 
"71602","05069","0003.02","5","Jefferson AR","Pine Bluff, AR",1243,0.0691 
"71602","05069","0003.03","1","Jefferson AR","Pine Bluff, AR",830,0.0462 
"71602","05069","0003.03","2","Jefferson AR","Pine Bluff, AR",1032,0.0574 
"71602","05069","0003.03","3","Jefferson AR","Pine Bluff, AR",2189,0.1217 
"71602","05069","0005.02","1","Jefferson AR","Pine Bluff, AR",2,0.0001 
"71602","05069","0005.02","3","Jefferson AR","Pine Bluff, AR",112,0.0062 
"71602","05069","0014.01","1","Jefferson AR","Pine Bluff, AR",1180,0.0656 
"71602","05069","0014.01","2","Jefferson AR","Pine Bluff, AR",580,0.0323 
"71602","05069","0014.02","1","Jefferson AR","Pine Bluff, AR",595,0.0331 
"71602","05069","0014.02","2","Jefferson AR","Pine Bluff, AR",50,0.0028 
"71602","05069","0021.03","1","Jefferson AR","Pine Bluff, AR",331,0.0184 
"71602","05069","0021.03","3","Jefferson AR","Pine Bluff, AR",548,0.0305 
"71602","05069","0024.00","2","Jefferson AR","Pine Bluff, AR",671,0.0373 
"71602","05069","0025.00","1","Jefferson AR","Pine Bluff, AR",238,0.0132 
"71603","05025","9701.00","1","Cleveland AR","Pine Bluff, AR",90,0.0026 
"71603","05053","4701.00","3","Grant AR","Pine Bluff, AR",86,0.0025 
